"data","barometro","MM"
"2015-10-01",81.8064008904621,80.481627799251
"2015-10-02",86.0870981477201,81.8829953863683
"2015-10-03",77.9627911197022,80.9029443197018
"2015-10-04",82.7253446081764,81.3585443918204
"2015-10-05",73.3662539667786,79.36047178556
"2015-10-06",71.1766893108946,77.3145261668936
"2015-10-07",83.2313758051023,78.7937385764458
"2015-10-08",83.3269348052604,79.9270376336494
"2015-10-09",78.9783766753972,79.6898723940864
"2015-10-10",89.7164322327994,82.1965123537646
"2015-10-11",85.6020745474794,83.0479029021933
"2015-10-12",73.7632797590481,80.726747116407
"2015-10-13",78.0303798029199,80.0526552880353
"2015-10-14",74.397935778192,78.6389754105744
"2015-10-15",80.6767576562462,79.1484209719924
"2015-10-16",85.5396943716332,80.7462393219026
"2015-10-17",77.1721515060648,79.8527173679431
